#Types Before Cut: 41421
#Types After Cut: 28054
#Search Hits: 0
346	133	45.866	success
347	62	45.829	presidential
348	15	45.735	ovo
349	19	45.705	raww
350	66	45.548	royalty
351	159	45.498	model
352	591	45.486	bet
353	34	45.423	whine
354	220	45.405	moment
355	480	45.264	chain
356	89	45.175	shopping
357	174	45.163	wave
358	366	45.060	bank
359	515	44.968	looking
360	92	44.900	solid
361	48	44.732	harsh
362	314	44.691	super
363	20	44.642	joog
364	20	44.642	llamo
365	20	44.642	purge
366	20	44.642	tambourine
367	20	44.642	trillionaire
368	28	44.374	bizness
369	46	44.341	slaughterhouse
370	39	44.189	minaj
371	178	44.188	finna
372	21	44.011	folarin
373	112	44.011	juicy
374	528	43.909	haters
375	2390	43.641	could
376	38	43.506	mj
377	24	43.497	audemar
378	272	43.434	summer
379	30	43.303	seeker
380	33	43.234	astronaut
381	702	43.132	tonight
382	243	43.118	fans
383	85	42.902	stove
384	18	42.861	automator
385	14	42.686	avatar
386	14	42.686	moscato
387	14	42.686	sabali
388	14	42.686	tashan
389	14	42.686	uber
390	71	42.503	stripper
391	45	42.483	dna
392	639	42.070	rich
393	129	41.988	stunt
394	19	41.879	louboutin
395	41	41.815	bamboo
396	44	41.735	gambino
397	63	41.672	kilo
398	16	41.669	yaowa
399	30	41.551	glo
400	256	41.441	such
401	42	41.376	geek
402	3433	41.341	life
403	55	41.329	worries
404	697	41.193	paper
405	906	41.147	full
406	32	41.067	wessun
407	43	40.988	bottoms
408	38	40.884	exciting
409	108	40.847	ace
410	34	40.836	skateboard
411	34	40.836	styrofoam
412	172	40.470	working
413	384	40.468	gucci
414	93	40.462	kanye
415	205	40.372	mike
416	17	40.029	nuvo
417	494	40.026	team
418	13	39.637	blapper
419	13	39.637	hoodstar
420	13	39.637	muny
421	13	39.637	sapporo
422	13	39.637	snapback
423	13	39.637	thots
424	13	39.637	trayvon
425	44	39.582	childish
426	194	39.579	plane
427	36	39.473	geeked
428	64	39.410	awesome
429	62	39.383	spree
430	107	39.223	celebrate
431	134	39.217	private
432	39	39.168	hodgy
433	579	38.989	wish
434	37	38.920	meek
435	33	38.760	soo
436	15	38.745	gabby
437	449	38.744	water
438	19	38.642	kleptomaniac
439	38	38.436	su
440	20	38.416	junt
441	21	38.372	audemars
442	125	38.224	dealer
443	3454	38.201	baby
444	333	38.182	pocket
445	245	38.112	waiting
446	102	37.851	models
447	26	37.770	rihanna
448	77	37.755	vodka
449	154	37.719	pills
450	50	37.492	floating
451	53	37.244	ni
452	62	37.186	bait
453	354	37.020	trippin
454	949	37.014	pull
455	24	36.893	calculator
456	24	36.893	redbone
457	255	36.870	feels
458	118	36.834	drinking
459	412	36.808	trip
460	104	36.797	shining
461	12	36.588	arouuuuund
462	12	36.588	badoom
463	12	36.588	coun
